department,salary,mean_work_last_3_months,number_projects,satisfaction_level,last_evaluation,time_in_company,work_accident,left
sales,low,266.0,2.0,38.0,53.0,3.0,0.0,1.0
sales,medium,252.0,5.0,80.0,86.0,6.0,0.0,1.0
sales,medium,289.6666666666667,7.0,11.0,88.0,4.0,0.0,1.0
sales,low,275.6666666666667,5.0,72.0,87.0,5.0,0.0,1.0
sales,low,292.3333333333333,2.0,37.0,52.0,3.0,0.0,1.0
sales,low,271.0,2.0,41.0,50.0,3.0,0.0,1.0
sales,low,268.6666666666667,6.0,10.0,77.0,4.0,0.0,1.0
sales,low,274.6666666666667,5.0,92.0,85.0,5.0,0.0,1.0
sales,low,269.3333333333333,5.0,89.0,100.0,5.0,0.0,1.0
sales,low,280.0,2.0,42.0,53.0,3.0,0.0,1.0
sales,low,274.6666666666667,2.0,45.0,54.0,3.0,0.0,1.0
sales,low,280.3333333333333,6.0,11.0,81.0,4.0,0.0,1.0
sales,low,279.6666666666667,4.0,84.0,92.0,5.0,0.0,1.0
sales,low,286.0,2.0,41.0,55.0,3.0,0.0,1.0
sales,low,270.3333333333333,2.0,36.0,56.0,3.0,0.0,1.0
sales,low,291.6666666666667,2.0,38.0,54.0,3.0,0.0,1.0
sales,low,258.6666666666667,2.0,45.0,47.0,3.0,0.0,1.0
sales,low,287.6666666666667,4.0,78.0,99.0,6.0,0.0,1.0
sales,low,277.3333333333333,2.0,45.0,51.0,3.0,1.0,1.0
sales,low,290.3333333333333,5.0,76.0,89.0,5.0,0.0,1.0
sales,low,270.0,6.0,11.0,83.0,4.0,0.0,1.0
sales,low,265.3333333333333,2.0,38.0,55.0,3.0,0.0,1.0
sales,low,262.3333333333333,6.0,9.0,95.0,4.0,0.0,1.0
sales,low,265.0,2.0,46.0,57.0,3.0,0.0,1.0
sales,low,275.6666666666667,2.0,40.0,53.0,3.0,0.0,1.0
sales,low,274.6666666666667,5.0,89.0,92.0,5.0,0.0,1.0
sales,low,276.0,4.0,82.0,87.0,5.0,0.0,1.0
